id,piece,license,url,notes,timestamps
rach2_mov1_P1.wav,"Rachmaninov Piano Concerto No. 2, mov 1",?,?,?,
rach2_mov1_O1.wav,"Rachmaninov Piano Concerto No. 2, mov 1",private,https://www.halleonard.com/product-family/PC25985/rachmaninov-concerto-no-2-in-c-minor-op-18,MMO3007,30.2-676.0
rach2_mov1_PO1.mp3,"Rachmaninov Piano Concerto No. 2, mov 1",CC BY-SA 3.0,https://imslp.org/images/b/bd/PMLP01953-Rachmaninov-Op18m1.mp3,IMSLP #101492,
rach2_mov1_PO2.mp3,"Rachmaninov Piano Concerto No. 2, mov 1",CC BY-NC-ND 4.0,https://imslp.org/images/1/1f/PMLP01953-dso20110514-004-rachmaninoff-piano-concerto-no2-mvtI-moderato.mp3,IMSLP #348562,
mozart21_mov1_P1.wav,"Mozart Piano Concerto No. 21, mov 1",?,?,?,
mozart21_mov1_O1.wav,"Mozart Piano Concerto No. 21, mov 1",private,https://www.halleonard.com/product/400239/mozart-concerto-no-21-in-c-major-kv467-elvira-madigan,MMO3072,0-752.5
mozart21_mov1_PO1.mp3,"Mozart Piano Concerto No. 21, mov 1",CC0 1.0,"https://imslp.eu/files/imglnks/euimg/6/61/IMSLP516357-PMLP5554-Concerto_pour_piano_No._21_in_C_Major,_K._467_(Wolfgang_Amadeus_Mozart)_Philips_A_01.291_L.mp3",IMSLP #516357,1.0-696.5
mozart21_mov1_PO2.mp3,"Mozart Piano Concerto No. 21, mov 1",Public Domain - Non-PD US,"https://imslp.hk/files/imglnks/euimg/3/3f/IMSLP569455-PMLP05554-Mozart_W.A.,_Piano_Concerto_No.21_in_C_major,_K.467_(Camerata_Academica_des_Mozarteums_Salzburg)_DG_1962.mp3",IMSLP #569455,1.9-715.0
beeth1_mov1_P1.wav,"Beethoven Piano Concerto No. 1, mov 1",?,?,?,
beeth1_mov1_O1.wav,"Beethoven Piano Concerto No. 1, mov 1",private,https://www.halleonard.com/product-family/PC25983/beethoven-concerto-no-1-in-c-major-op-15,MMO6001,0-838
beeth1_mov1_PO1.mp3,"Beethoven Piano Concerto No. 1, mov 1",CC BY-NC 3.0,https://vmirror.imslp.org/files/imglnks/usimg/c/c1/IMSLP294240-PMLP04230-dso20120512-002-beethoven-piano-concerto-no1-mvtI-allegro-con-brio.mp3,IMSLP #294240,
beeth1_mov1_PO2.mp3,"Beethoven Piano Concerto No. 1, mov 1",CC BY-SA 3.0,https://vmirror.imslp.org/files/imglnks/usimg/8/87/IMSLP77618-PMLP04230-Beethoven-Op015m1.MO.mp3,IMSLP #77618,
bach5_mov1_P1.wav,"Bach Harpsichord Concerto No. 5, mov 1",?,?,?,
bach5_mov1_O1.wav,"Bach Harpsichord Concerto No. 5, mov 1",private,https://www.halleonard.com/product/44006419/bach-concerto-for-piano-strings-and-basso-continuo-bwv-1056-in-f-minor,DOW17008,3.5-196.0
bach5_mov1_PO1.mp3,"Bach Harpsichord Concerto No. 5, mov 1",Public Domain - Non-PD US,"https://imslp.hk/files/imglnks/euimg/5/56/IMSLP528915-PMLP110821-Harpsichord_Concerto_No._5_in_F_Minor,_BWV_1056_(Johann_Sebastian_Bach)_AP_198189.mp3",IMSLP #528915,2.8-202.5
bach5_mov1_PO2.mp3,"Bach Harpsichord Concerto No. 5, mov 1",Public Domain - Non-PD US,"https://imslp.eu/files/imglnks/euimg/0/0c/IMSLP614566-PMLP110821-Bach_J.S._-_Keyboard_concerto_No._5_in_F_minor,_BWV_1056.mp3",IMSLP #614566,0-201.0